"Hash"	"GroupCount"	"RelativePath"	"Bytes"
"D078E2D3E0AB2200A56FEECA5FF33DF0226A5459471EEBCD15D8194A577BC22F"	"3"	"docs\CANONICAL_SIGNED_VECTOR_SPEC_V1.md"	"5765"
"D078E2D3E0AB2200A56FEECA5FF33DF0226A5459471EEBCD15D8194A577BC22F"	"3"	"integin-pilot-admin\contracts\vectors\v1\CANONICAL_SIGNED_VECTOR_SPEC_V1.md"	"5765"
"D078E2D3E0AB2200A56FEECA5FF33DF0226A5459471EEBCD15D8194A577BC22F"	"3"	"operations\pilot\contracts\vectors\v1\CANONICAL_SIGNED_VECTOR_SPEC_V1.md"	"5765"
"3D06EF17F6FBD1967B29C70E7653C73EB486AF1068608BD1C14965667989E1AF"	"2"	"integin-pilot-source\AI_DEPLOYMENT.md"	"3639"
"3D06EF17F6FBD1967B29C70E7653C73EB486AF1068608BD1C14965667989E1AF"	"2"	"integin-source\AI_DEPLOYMENT.md"	"3639"
"9A2917EDD215C22B15DF58557D73B6D109D8FE2CCBF5CF502271883B251E72CE"	"2"	"integin-pilot-source\ARCHITECTURE_EVOLUTION_ROADMAP.md"	"14207"
"9A2917EDD215C22B15DF58557D73B6D109D8FE2CCBF5CF502271883B251E72CE"	"2"	"integin-source\ARCHITECTURE_EVOLUTION_ROADMAP.md"	"14207"
"E37D7507BAA6B7E728A55EED1A4F7D7F7E633539238E877C2D491CC2D5ED2FAD"	"2"	"integin-pilot-source\findings.md"	"3091"
"E37D7507BAA6B7E728A55EED1A4F7D7F7E633539238E877C2D491CC2D5ED2FAD"	"2"	"integin-source\findings.md"	"3091"
"6157B46354633D83A46D65F0879322FC868C223B9E5475E6CC29933DC362006B"	"2"	"integin-pilot-source\IMPROVEMENT_PLAN.md"	"10750"
"6157B46354633D83A46D65F0879322FC868C223B9E5475E6CC29933DC362006B"	"2"	"integin-source\IMPROVEMENT_PLAN.md"	"10750"
"C2FCA9F41A5375EFDF307CB267ED030A41818C13B94345904C33CD669E360E24"	"2"	"integin-pilot-source\LIVE_INTEGRATION_RUNBOOK.md"	"2399"
"C2FCA9F41A5375EFDF307CB267ED030A41818C13B94345904C33CD669E360E24"	"2"	"integin-source\LIVE_INTEGRATION_RUNBOOK.md"	"2399"
"6FE13EB0C9B1129711A93DF345B6FED17C8412C1728EF91A161E7D492181C545"	"2"	"integin-pilot-source\LOCAL_INFRASTRUCTURE.md"	"2956"
"6FE13EB0C9B1129711A93DF345B6FED17C8412C1728EF91A161E7D492181C545"	"2"	"integin-source\LOCAL_INFRASTRUCTURE.md"	"2956"
"495AD40EC47F15ABEF10641CB5AE8DE9CEBB283E6E5E65DD07FB8DDD68E0DE76"	"2"	"integin-pilot-source\progress.md"	"18811"
"495AD40EC47F15ABEF10641CB5AE8DE9CEBB283E6E5E65DD07FB8DDD68E0DE76"	"2"	"integin-source\progress.md"	"18811"
"0261DD766FE54E2660D37CBD18EB906D9E34720A3BACDB5A606BC625385850B6"	"2"	"integin-pilot-source\RLS_RUNTIME_ROLE.md"	"1775"
"0261DD766FE54E2660D37CBD18EB906D9E34720A3BACDB5A606BC625385850B6"	"2"	"integin-source\RLS_RUNTIME_ROLE.md"	"1775"
"C6B89516EC14B50D70D8A5BFEFCF630B7DB3EFADAD0A66ACCFEF88C28653B9A9"	"2"	"integin-pilot-source\task_plan.md"	"8811"
"C6B89516EC14B50D70D8A5BFEFCF630B7DB3EFADAD0A66ACCFEF88C28653B9A9"	"2"	"integin-source\task_plan.md"	"8811"
"98E04307E8053B4B56AB7C86DD7C920AB125AB6CCEA3EADF0393937A30209B77"	"2"	"integin-pilot-source\ai_service\README.md"	"974"
"98E04307E8053B4B56AB7C86DD7C920AB125AB6CCEA3EADF0393937A30209B77"	"2"	"integin-source\ai_service\README.md"	"974"
"1A9A4F0E3D479A27240DDD59A9137A66AB4A0F9DFDC8CA6188CC0BFD85187F04"	"3"	"integin-pilot-source\ai_service\.verification-venv\Lib\site-packages\idna-3.18.dist-info\licenses\LICENSE.md"	"1541"
"1A9A4F0E3D479A27240DDD59A9137A66AB4A0F9DFDC8CA6188CC0BFD85187F04"	"3"	"integin-pilot-source\ai_service\.verification-venv\Lib\site-packages\pip\_vendor\idna\LICENSE.md"	"1541"
"1A9A4F0E3D479A27240DDD59A9137A66AB4A0F9DFDC8CA6188CC0BFD85187F04"	"3"	"integin-pilot-source\ai_service\.verification-venv\Lib\site-packages\pip-26.2.1.dist-info\licenses\src\pip\_vendor\idna\LICENSE.md"	"1541"
"380BA39CE62F6674957D502DA6E09D3EEE631A2B04D5D33A4E9CEADC0FFC8D15"	"2"	"integin-pilot-source\field_app\ARCHITECTURE.md"	"4170"
"380BA39CE62F6674957D502DA6E09D3EEE631A2B04D5D33A4E9CEADC0FFC8D15"	"2"	"integin-source\field_app\ARCHITECTURE.md"	"4170"
"D9141B52F41176FF6FC95C3329067F0771E83A7E5EB134213725C2BF441B35C4"	"2"	"integin-pilot-source\field_app\README.md"	"2519"
"D9141B52F41176FF6FC95C3329067F0771E83A7E5EB134213725C2BF441B35C4"	"2"	"integin-source\field_app\README.md"	"2519"
"22FDD5A0802111C6368F688126966EC03B9315EB5412B19096DCC3E5BD33323D"	"2"	"integin-pilot-source\internal\INFRASTRUCTURE.md"	"1604"
"22FDD5A0802111C6368F688126966EC03B9315EB5412B19096DCC3E5BD33323D"	"2"	"integin-source\internal\INFRASTRUCTURE.md"	"1604"
"0869C57B1134461561CE2C79E90E1F8A2ED8B6400B9C0CAD1F37A064A1C6D6CD"	"2"	"integin-pilot-source\internal\SERVER.md"	"2858"
"0869C57B1134461561CE2C79E90E1F8A2ED8B6400B9C0CAD1F37A064A1C6D6CD"	"2"	"integin-source\internal\SERVER.md"	"2858"
"50A35EC20256437A9D0DC25986F1CF0BF9677B535D4D22616D80DF1E79C43387"	"2"	"integin-pilot-source\internal\domain\README.md"	"1292"
"50A35EC20256437A9D0DC25986F1CF0BF9677B535D4D22616D80DF1E79C43387"	"2"	"integin-source\internal\domain\README.md"	"1292"
"8A86BBB07CB739249FBD4BE2E1EF8C752B9AA5A4DC51F796233D7B58BA54EB60"	"2"	"integin-pilot-source\internal\shared\README.md"	"1425"
"8A86BBB07CB739249FBD4BE2E1EF8C752B9AA5A4DC51F796233D7B58BA54EB60"	"2"	"integin-source\internal\shared\README.md"	"1425"
